franco,arabic,english,source,annotator,verified,collected_at
ترا 9 حرف ص,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
n7bik,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
5:22 RIP → rest in peace,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
Shar7 sa7l wlaziz,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
Begad ente jamela 2we we 4akran le 7dratak,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
Kol sana wenta taib we 3o2bal milion sana ❤❤,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
4kran ya 2lbe 2stafadt mn el fadue ‏‪4:,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
ea2brbe,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
shokran ya 2alby estfat men el vedio da😍❤️,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
ana 3yez el malaf da,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
7elm,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
ق=9,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
رقم 9، ص،  و,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
Bsraha ana ba7b al8a de awi w shkran 🌞✨,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
9raha mara sahl 😭😭,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
L3h shlh gbnnnn,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
shr7 jda mufed.. tslm ediki ❤,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
‏‪2:58‬‏ يا جماعه انتبهو متكتبوش ان شاء الله والحمدلله بالفرانكو عشان حرام مينفعش وكمان كلام ربنا مينفعش برضو نكتبو بالفرانكو، والدال ع الخير كفاعله❤,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
Bg2ad hlow 2wy,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
Rabina yebarklk 5litiny a3raf izay atkalem franko,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
9=ص؟,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
ممكن سؤال دلوقتي رقم 8 ده فى ناس بتكتبو ق مش غ انهى الصح و رقم 9 الناس بتكتبو ص على فكره + شكرا على الشرح ❤,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
kol sana W enta Taib w 3o2bal million sana,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
9=ص,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
ana 9rt 8enya bl m3lomat bfdlk,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
4kran 3ala 4ar7k a7bk,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
Ana b7b alfrnkw aoy,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
ana ba7b hl l8h o3m at3lamha,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
Marah mr7h o 7lo,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
a7snty shr7 7lw wmf9l bs 3ndy t3ly8 fy fr8 blhjh mthln fy m9r bytklmw 3'yr yly fy alm3'rb aw albnan aw twns bs ana bktwb 7sb lhjty y3ny fy shwy fr8 bs mw ktyrr btwfy8,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.848767
"kol sana w enta taib w3o2bal milion sana 
كتبته من قبل ما تكتبيها",,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
Sahl ay 3la fkra,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
4r5 mofid,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
7LOA AL8A DEY,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
sahla gd2 3lfkre+2habeka 💕,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
4krn bgd veido ra23,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
"علفكرة رقم  9 = حرف (ص)  .. 
وشكرا علي مجهودك العظيم ♥♥♥",,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
7lw estmery,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
"9= ق مثلا 
دقيقة :d9i9a ☺",,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
2ء,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
M4 ellmafrod in 9=ص,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
7alo ❤,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
Shokran 3la El shar7 El gamel w El sahl 👍,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
Sa7 ana b7b7a awyy,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
"S =2 بهذه اللغة بالانجليزي ؟
يعني a2eel=aseel 
و 0=o.  صح؟؟",,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
7alo awy el4r7 da,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
4kran gadn 3shan ana bkat a3rf atklm,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
"𝑌𝑎𝑙𝑎ℎ𝑤𝑖 𝑎𝑙𝑣𝑖𝑑 𝑏𝑎2𝑎𝑙𝑜 5 𝑠𝑒𝑛𝑒𝑛 
𝐴𝑤𝑙 𝑚𝑎𝑟𝑎 𝑎𝑘𝑡𝑒𝑏 𝑓𝑟𝑎𝑛𝑘𝑜 𝑠𝑜 ℎ𝑎𝑝𝑝𝑦😁",,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
الله يعطيكي العافيه يارب بس في 9 ص ول 4ق وش,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
4akarn 2wyyyyy❤,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
L8a koaeca,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
Shl gdaaaaa Ana b3rf 4oy 4oy,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
4okran sa3dteny gedan هل كتبتها صح 😂😂,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
Wah4 2lkon,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
L3'Ah shla gdan,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
Ana 3arf oxb 3shan kda el franko da gamed fa45❤️,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
So2al,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
9 ص,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
3saaaaaalll 😩💗,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
2l8a de gmela,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
Ba2t batkalm franko kois,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
7lm,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
msh3'wl,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
abda3,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
Ashal wa asr3 ktabh fy al chat,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
kol sana wenta tayeb,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
حرف ق 2,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
Ba4ot fehm zay Carlos anzah wa7ed zay bekham,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
Kol sana w anta taib w 3kbal kol sana,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
رقم9 صاد,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
9=ق,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
27medm2gdy,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
Ana 7betk awe ❤,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
"2ء
3ع 
4 8 ش 
5  7خ 
6 ط 
7  ح 
3' 8 غ",,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
9: ق🌚🌚🌚,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
Bgd 4okren awy ana kont m4 b3rf awy bgd 4okren 👀,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:50.673884
